类别,名称,食部 (%),蛋白质 (g),脂肪 (g),碳水化合物 (g),热量 (kcal),粗纤维 (g),钙 (g),磷 (g),铁 (g),胡萝卜素 (g),硫胺素 (g),核黄素 (g),尼克酸 (g),抗坏血酸 (g)
肉及禽类,鸡肝,100,18.2,3.4,1.9,111,0,21,260,8.2,50900,0.38,1.63,10.4,7
肉及禽类,鸭,24,16.5,7.5,0.5,136,0,11,145,4.1,,0.07,0.15,4.7,
肉及禽类,鹅,66,10.8,11.2,0,144,0,13,23,3.7,,,,,
水产品,黄花鱼,57,17.6,0.8,,78,0,33,135,1,,0.01,0.1,0.8,
水产品,带鱼,72,18.1,7.4,,139,0,24,160,1.1,,0.01,0.09,1.9,
水产品,鲳鱼,64,15.6,6.6,0.2,123,0,19,240,0.3,,,0.13,2.7,
水产品,青鱼,68,19.5,5.2,0,125,0,25,171,0.8,,0.13,0.12,1.7,
水产品,鲢鱼,46,15.3,0.9,0,69,0,36,187,0.6,,0.02,0.15,2.7,
水产品,鲤鱼,62,17.3,5.1,0,115,0,25,175,1.6,,,0.1,3.1,
水产品,鲫鱼,40,13,1.1,0.1,62,0,95,242,0.5,,,0.06,2.3,
水产品,咸带鱼,68,24.4,11.5,0.2,202,0,132,113,1,,0.01,0.18,1.6,
水产品,墨鱼,73,13,0.7,1.4,64,0,14,150,0.6,,0.01,0.06,1,
水产品,河虾,26,17.5,0.6,0,76,0,221,23,0.1,,0.02,0.08,1.9,
水产品,对虾,70,20.6,0.7,0.2,90,0,35,150,0.1,360,0.01,0.11,1.7,
水产品,虾米,100,47.6,0.5,0,195,0,880,695,6.7,0,0.03,0.06,4.1,
水产品,虾皮,100,39.3,3,8.6,219,0,2000,1005,5.5,,0.03,0.07,2.5,
水产品,蛤蜊,20,10.8,1.6,4.6,76,0,37,82,14.2,400,0.03,0.15,1.7,
